source_id,source_bias,reliability_score,reliability_threshold_diff,unreliability_threshold_diff
abc-news,-2.78,44.23,4.23,20.23
associated-press,-2.57,44.78,4.78,20.78
the-huffington-post,-10.7,38.39,-1.61,14.39
cbs,-2.86,41.99,1.99,17.99
breitbart-news,13.57,30.07,-9.93,6.07
msnbc,-13.96,34.34,-5.66,10.34
cnn,-6.3,42.01,2.01,18.01
fox-news,11.23,34.27,-5.73,10.27
the-wall-street-journal,4.38,43.1,3.1,19.1
the-american-conservative,14.36,31.64,-8.36,7.64
the-verge,-7.27,38.1,-1.9,14.1
national-review,12.69,31.36,-8.64,7.36
